Ax,Ay,Az,Gx,Gy,Gz
1.033,-0.2844,-0.0098,2.626,-0.3359,-7.8321
1.03,-0.2903,-0.0049,2.6794,-0.4046,-7.626
1.0308,-0.2913,-0.0125,2.6718,-0.7099,-7.542
1.0293,-0.2871,-0.0093,2.626,-0.4733,-7.5802
1.0256,-0.2844,-0.0024,2.5496,-0.4351,-7.8626
1.0312,-0.2881,-0.0103,2.7405,-0.916,-7.0992
1.0327,-0.2969,-0.0178,2.5649,-0.5344,-7.4962
1.0193,-0.2876,-0.0017,2.5649,-0.687,-7.8015
1.0361,-0.2874,-0.0107,2.458,-0.4656,-7.0458
1.0339,-0.2925,-0.0129,2.7252,-0.7557,-6.8397
1.0334,-0.2783,-0.0083,2.5802,-0.4046,-7.6947
1.0334,-0.2839,-0.0022,2.542,-0.3969,-6.8015
1.031,-0.2844,-0.0051,2.6947,-0.4046,-7.3435
1.0298,-0.2854,-0.0066,2.687,-0.2595,-8.0916
1.0295,-0.2866,-0.0076,2.6641,-0.4504,-7.9924
1.0366,-0.293,-0.0198,2.5115,-0.5496,-7.1298
1.0251,-0.2866,-0.0105,2.626,-0.6031,-7.4198
1.0303,-0.2842,-0.0059,2.5115,-0.0916,-7.7099
1.0249,-0.2957,-0.0083,2.6641,-0.5344,-6.7176
1.0339,-0.2898,-0.0122,2.7176,-0.626,-7.4427
1.0386,-0.2935,-0.0125,2.6412,-0.5191,-7.7252
1.0303,-0.2839,-0.0105,2.5725,-0.4656,-6.916
1.0322,-0.2932,-0.0112,2.5802,-0.5344,-7.1985
1.0283,-0.2852,-0.0127,2.626,-0.4885,-6.8931
1.0286,-0.2876,-0.0115,2.6565,-0.3817,-7.4733
1.0295,-0.2876,-0.0063,2.5802,-0.2901,-7.0229
1.0334,-0.2915,-0.0095,2.6565,-0.3588,-7.7939
1.0317,-0.2852,-0.011,2.5496,-0.3206,-8.1985
1.0259,-0.2832,-0.0039,2.4275,-0.2672,-7.4733
1.0354,-0.2949,-0.0151,2.5649,-0.687,-7.7023
1.0322,-0.2915,-0.0112,2.8244,-0.3206,-7.7099
1.0344,-0.2964,-0.0117,2.5496,-0.2366,-7.9008
1.0317,-0.2971,-0.0181,2.5878,-0.6947,-6.855
1.0376,-0.2944,-0.0103,2.7023,-0.5573,-7.1985
1.0283,-0.2864,-0.0073,2.5344,-0.458,-7.3053
1.033,-0.2891,-0.0098,2.5725,-0.4809,-7.0382
1.033,-0.2864,-0.0078,2.626,-0.7557,-7.0611
1.0288,-0.2847,-0.0024,2.6489,-0.2977,-7.687
1.0283,-0.2888,-0.0046,2.626,-0.313,-6.9237
1.0378,-0.2888,-0.0088,2.4885,-0.5038,-7.3817
